Name,Score,Characters,Team,Total Played,Win %,Last Match
KrampusKlaus,2954,Falco,Toledo,93,30,10/6/2017
NEO,2950,,,4,50,10/3/2017
A Fraud Wobbler,2946,,,11,45,8/3/2017
Superdry,2932,,,11,54,4/11/2017
Doom Chickens,2924,,,4,50,10/6/2017
Aphex,2917,Marth,,49,26,10/12/2017
666,2916,Marth,<< sandbagging >>,5,60,10/5/2017
HAM,2915,Ice Climbers,,27,37,10/13/2017
luigi master tae,2907,,,6,66,10/6/2017
JonnyPugh,2903,,Ann Arbor,12,33,8/19/2017
Jase,2897,,,8,50,7/12/2017
Gouse,2897,,,5,60,9/16/2017
Barcode,2893,Peach,,33,30,10/6/2017
banardo,2880,,,10,50,9/29/2017
ShinsuYavi,2867,Marth,,57,28,10/6/2017
Jinjo,2862,,,10,50,4/18/2017
3bluntz@once,2860,,,11,36,8/10/2017
Zenith,2855,,,5,60,8/9/2017
Brendog,2854,,,22,40,8/1/2017
Gorx,2845,Marth,,58,36,10/6/2017
Party Poison,2834,,,53,28,9/30/2017
Wende,2820,,,8,50,9/21/2017
Double D,2815,Falco,,87,28,10/6/2017
SALZ,2810,,,26,42,10/6/2017
Grandpadorf,2808,,,26,38,10/15/2017
Bird,2793,Captain Falcon,,179,24,10/13/2017
wonderrbread,2776,,,18,33,10/6/2017
McLOud,2774,,,5,60,6/22/2017
Drama-Sama,2774,Samus,,25,44,6/4/2017
Koneil,2772,,,20,40,5/18/2017
Owlnips,2757,,,29,41,10/6/2017
Bron,2738,,,8,50,5/27/2017
Gum,2734,Sheik,,8,50,10/6/2017
BlackHavokk,2731,,,15,40,5/27/2017
Cap'n Custard,2728,,,5,60,9/14/2017
Scorpiator,2705,,,57,26,10/6/2017
Mushu,2703,,,13,38,9/27/2017
Snipes!,2693,,,6,66,6/22/2017
Dommy Salami,2691,,,5,60,2/23/2017
ManaX,2688,,,19,36,8/14/2017
Psythr,2681,Mr. Game & Watch,,26,30,8/19/2017
Surfer Jesus,2679,,,22,31,9/15/2017
Dover,2657,,,10,50,3/11/2017
Q,2650,,,5,60,3/25/2017
Rildom,2642,,Mt. Pleasant,111,27,10/13/2017
wizard,2640,,,52,34,10/6/2017
Stiff,2637,,,6,33,8/11/2017
Sugar,2626,,,8,50,9/1/2017
scrando,2620,,,5,60,7/6/2017
Anasazi,2614,Marth,,90,25,10/13/2017
Rex,2605,Pikachu,Grand Rapids,46,26,9/9/2017
Monstercat,2593,,,35,37,7/18/2017
Ricck,2589,,,44,29,10/13/2017
null,2572,,,14,42,4/22/2017
MarbleBlaster,2572,,,35,28,10/6/2017
Vaatu,2555,,,24,37,10/6/2017
marvelboy,2549,,,9,44,10/13/2017
Noble,2538,,,11,45,7/20/2017
AldenRJ,2537,,,15,26,9/30/2017
Shade,2518,,,3,33,9/15/2017
Imp,2515,,,18,44,9/7/2017
nick (Toledo),2512,,,5,60,8/3/2017
bdj,2509,,,4,50,8/11/2017
LMT,2504,,,3,66,7/16/2017
starchild,2504,,,17,35,7/6/2017
Chris (FNSD),2489,,,5,60,5/26/2017
Shahara,2486,,,12,33,7/27/2017
OffBrandCrayons,2485,,,8,50,7/6/2017
Wildcard,2475,Captain Falcon,,21,42,10/6/2017
Breeze,2474,,,9,33,9/29/2017
Den,2472,,,5,60,10/13/2017
Invader Slim,2471,,Flint,43,32,10/5/2017
NKDK,2461,Donkey Kong,,21,33,4/22/2017
PotBreaker,2460,,,8,37,3/10/2017
Modus,2442,Falco,Chelsea,70,21,10/6/2017
B0XTOP,2441,,,7,57,3/11/2017
Picasso,2441,,,5,60,8/4/2017
Track,2430,,,4,50,8/20/2017
Calvin,2419,,,15,26,8/4/2017
Smoothie,2416,Fox,,7,42,7/3/2017
Dust (FNSD),2415,,,9,44,7/13/2017
Superwaffles,2407,,,25,28,9/28/2017
THECHEF,2401,,,14,35,10/6/2017
Vessel,2397,,,4,50,8/31/2017
Popstar,2396,Falco,,66,27,10/6/2017
The Dude,2393,,,8,50,7/17/2017
Lidds,2384,,,24,33,9/17/2017
Kranny,2384,,,15,40,10/11/2017
Boozer,2377,,,7,42,9/21/2017
Asian Buffet,2372,,,5,60,2/27/2017
THai,2370,,,5,60,6/22/2017
THuGz,2364,,,4,50,10/6/2017
Wattson,2363,Peach,Grass Lake,86,26,10/6/2017
Quil,2360,,,20,35,10/6/2017
Pilot,2338,,,5,60,10/6/2017
VHS,2330,,,13,38,9/26/2017
Flare,2326,,,5,60,3/24/2017
Rep,2326,,Macomb,4,50,6/29/2017
Quinn,2320,,,5,60,10/6/2017
m8land,2318,,,12,33,7/6/2017
Chelo,2315,,,37,35,9/1/2017
mote,2313,,,4,50,10/6/2017
C_Mill24,2312,Captain Falcon,,9,33,8/17/2017
Kardinal,2309,,,28,35,9/14/2017
therealdave,2301,,,5,60,10/6/2017
Starsoldier,2298,,,16,25,10/6/2017
Vegeta,2294,,,5,60,2/25/2017
HHSweater,2282,,,12,50,7/31/2017
Mr. Lehey,2267,,,5,60,4/11/2017
Dalius,2255,,,10,40,10/6/2017
Jpops,2251,,,5,60,3/23/2017
Ruffian,2249,,,4,50,3/13/2017
Pli,2242,,,5,60,2/6/2017
Senior~~~,2240,,,7,57,1/15/2017
Game,2239,,,11,36,4/26/2017
Dark Magician Girl,2233,,,6,33,8/11/2017
aladdin,2232,,,8,50,6/14/2017
Teneo,2225,Falco,,24,25,9/1/2017
Rxnier,2217,,,4,50,5/3/2017
Dr.PNC,2212,,,21,33,7/13/2017
Nemo's Dead Mom,2211,,,9,33,10/6/2017
Youth,2207,,,13,23,8/14/2017
Nick Ahoy,2204,,,20,25,10/6/2017
Peach Dude 99,2200,,,4,50,5/25/2017
Salad,2200,,,34,26,9/21/2017
GamerGod6969,2196,,,7,42,7/27/2017
Bry,2182,,,14,42,10/1/2017
Scoops,2173,,,27,37,7/24/2017
Max $,2170,,,25,32,7/27/2017
Sparty,2169,,,5,60,10/5/2017
Turkish Delight,2166,Falco,,34,26,6/7/2017
Yash Gottem,2164,,,6,66,1/1/2017
Ikkitrix,2159,,,8,50,4/22/2017
Joey,2158,,,6,66,2/25/2017
Deep Dish,2155,,,7,42,8/4/2017
Railz,2140,Fox,,6,50,1/29/2017
LMN,2138,Sheik; Samus,,15,33,5/24/2017
threejaayz,2127,,,15,33,9/22/2017
Wolf,2114,,,3,33,6/5/2017
Tubby,2107,,,25,24,10/6/2017
JM,2091,,,80,26,10/2/2017
Tai (HTL),2089,,,10,40,8/3/2017
PupuDoodoo,2085,,,7,57,3/11/2017
ALEPH,2084,,,27,33,10/6/2017
Peat,2079,,,18,33,7/25/2017
Gax Moof,2076,,,6,66,1/27/2017
Pham,2063,,,5,20,10/13/2017
Rhythm,2054,Falco,,41,24,9/28/2017
Halo,2051,,,21,33,10/6/2017
Iron_Kaiser,2050,,,14,35,10/13/2017
Roxas,2048,,,8,37,5/16/2017
Gemini,2037,,,14,35,7/14/2017
S&S,2032,,,4,50,7/20/2017
J-Matt,2007,,,7,57,3/11/2017
monkeyzz,1998,,,44,25,10/6/2017
B17,1992,,,26,23,7/12/2017
Gryphondoor,1989,,,6,50,2/25/2017
Mufasa,1989,Jigglypuff,,108,21,10/6/2017
Zo9ine,1980,,,8,37,10/6/2017
Thinking Man,1974,,,61,21,10/6/2017
Tuna,1965,,,15,26,10/6/2017
Erisez,1958,,,5,60,5/27/2017
Riddle,1955,,,6,33,10/13/2017
BillyLoaf,1953,,,12,33,9/30/2017
Cakeman1218,1948,Fox,,28,25,8/27/2017
PoopiePete420,1940,,,4,50,10/6/2017
Samn,1936,,,4,50,5/25/2017
HSK,1916,,,4,50,10/6/2017
Food,1909,,,25,24,9/10/2017
Conchordz,1889,,,11,45,5/20/2017
Jones,1889,,,4,50,7/29/2017
ThrownOrc,1886,FThrow,,40,22,10/6/2017
Moberto,1868,,,4,50,8/9/2017
Fish$,1865,,,4,50,10/6/2017
raglbeez,1858,,,11,45,6/21/2017
Psych,1854,,,4,50,7/6/2017
Psy,1851,,,28,17,9/4/2017
Cyfer,1849,Marth,,17,29,9/14/2017
